epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,176.614,0.9351,0.68126,0.98725,0.50578,0.67764,0.68795,0.41561,1.37873,1.20204,1.32825,0.000240859,0.000240859,0.000240859
66,179.716,0.88338,0.69748,0.9908,0.50578,0.67764,0.68795,0.41561,1.37873,1.20204,1.32825,0.000238107,0.000238107,0.000238107
67,182.637,0.94374,0.74687,0.96208,0.50578,0.67764,0.68795,0.41561,1.37873,1.20204,1.32825,0.000235355,0.000235355,0.000235355
68,184.903,0.93721,0.67113,0.94822,0.5951,0.68908,0.70465,0.42418,1.41449,1.22038,1.35361,0.000232603,0.000232603,0.000232603
69,187.153,0.92256,0.65102,0.93891,0.5951,0.68908,0.70465,0.42418,1.41449,1.22038,1.35361,0.00022985,0.00022985,0.00022985
70,189.385,0.96331,0.67691,1.06958,0.5951,0.68908,0.70465,0.42418,1.41449,1.22038,1.35361,0.000227098,0.000227098,0.000227098
71,191.656,0.91838,0.63432,0.95103,0.722,0.50272,0.6992,0.41131,1.38653,1.20833,1.3259,0.000224346,0.000224346,0.000224346
72,193.911,0.93638,0.61229,0.97058,0.722,0.50272,0.6992,0.41131,1.38653,1.20833,1.3259,0.000221594,0.000221594,0.000221594
73,196.237,0.92372,0.63229,0.97918,0.70191,0.54922,0.72306,0.42309,1.37848,1.18646,1.31656,0.000218842,0.000218842,0.000218842
74,198.538,0.87925,0.61158,0.98271,0.70191,0.54922,0.72306,0.42309,1.37848,1.18646,1.31656,0.000216089,0.000216089,0.000216089
75,200.781,0.87277,0.58478,0.94355,0.70191,0.54922,0.72306,0.42309,1.37848,1.18646,1.31656,0.000213337,0.000213337,0.000213337
76,203.019,0.90605,0.629,0.99239,0.70044,0.57352,0.72305,0.41775,1.38594,1.17203,1.34279,0.000210585,0.000210585,0.000210585
77,205.227,0.90171,0.61467,0.89957,0.70044,0.57352,0.72305,0.41775,1.38594,1.17203,1.34279,0.000207833,0.000207833,0.000207833
78,207.442,0.91871,0.64223,0.98526,0.70044,0.57352,0.72305,0.41775,1.38594,1.17203,1.34279,0.000205081,0.000205081,0.000205081
79,209.711,0.86759,0.61961,0.95392,0.7077,0.56783,0.74619,0.44244,1.36153,1.18673,1.32715,0.000202328,0.000202328,0.000202328
80,211.945,0.86637,0.58641,0.9408,0.7077,0.56783,0.74619,0.44244,1.36153,1.18673,1.32715,0.000199576,0.000199576,0.000199576
